Idade,Total_compras_mensal,Qtd_compras_mensal,Renda_mensal
26,299,3,1445
26,499,5,1445
26,810,6,1845
35,1310,5,1845
28,110,3,1845
29,260,3,1845
27,310,4,1845
36,400,3,2045
33,1010,6,2045
27,2400,7,2045
25,1210,6,2045
28,810,8,2045
28,860,6,2545
29,700,6,2545
30,610,7,2545
25,588,8,2545
31,910,9,2545
31,2810,10,6045
31,1810,10,6045
41,1700,8,6045
51,1510,8,5045
62,810,6,4045
41,2910,9,6045
44,3010,7,6045
43,960,6,6045
33,1060,5,5045
45,1510,8,4045
25,262,4,1455
32,372,5,1455
32,192,5,1455
27,301,4,1455
27,501,6,1455
27,812,7,1855
36,1312,6,1855
29,112,4,1855
30,262,4,1855
28,312,5,1855
37,402,4,2055
34,1012,7,2055
28,2402,8,2055
26,1212,7,2055
29,812,9,2055
29,862,7,2555
30,702,7,2555
31,612,8,2555
26,590,9,2555
32,912,10,2555
32,2812,11,6055
32,1812,11,6055
42,1702,9,6055
52,1512,9,5055
63,812,7,4055
42,2912,10,6055
45,3012,8,6055
44,962,7,6055
34,1062,6,5055
46,1512,9,4055
21,269,1,1655
28,379,2,1655
28,199,2,1655
23,308,1,1655
23,508,3,1655
23,819,4,2055
32,1319,3,2055
25,119,1,2055
26,269,1,2055
24,319,2,2055
33,409,1,2255
30,1019,4,2255
24,2409,5,2255
22,1219,4,2255
25,819,6,2255
25,869,4,2755
26,709,4,2755
27,619,5,2755
22,597,6,2755
28,919,7,2755
28,2819,8,6255
28,1819,8,6255
38,1709,6,6255
48,1519,6,5255
59,819,4,4255
38,2919,7,6255
41,3019,5,6255
40,969,4,6255
30,1069,3,5255
42,1519,6,4255
22,271,2,1665
29,381,3,1665
29,201,3,1665
24,310,2,1665
24,510,4,1665
24,821,5,2065
33,1321,4,2065
26,121,2,2065
27,271,2,2065
25,321,3,2065
34,411,2,2265
31,1021,5,2265
25,2411,6,2265
23,1221,5,2265
26,821,7,2265
26,871,5,2765
27,711,5,2765
28,621,6,2765
23,599,7,2765
29,921,8,2765
29,2821,9,6265
29,1821,9,6265
39,1711,7,6265
49,1521,7,5265
60,821,5,4265
39,2921,8,6265
42,3021,6,6265
41,971,5,6265
31,1071,4,5265
43,1521,7,4265
22,271,2,1665
29,381,3,1665
29,201,3,1665
24,310,2,1665
24,510,4,1665
24,821,5,2065
33,1321,4,2065
26,121,2,2065
27,271,2,2065
25,321,3,2065
34,411,2,2265
31,1021,5,2265
25,2411,6,2265
23,1221,5,2265
26,821,7,2265
26,871,5,2765
27,711,5,2765
28,621,6,2765
23,599,7,2765
29,921,8,2765
29,2821,9,6265
29,1821,9,6265
39,1711,7,6265
49,1521,7,5265
60,821,5,4265
39,2921,8,6265
42,3021,6,6265
41,971,5,6265
31,1071,4,5265
43,1521,7,4265
23,273,3,1675
30,383,4,1675
30,203,4,1675
25,312,3,1675
25,512,5,1675
25,823,6,2075
34,1323,5,2075
27,123,3,2075
28,273,3,2075
26,323,4,2075
35,413,3,2275
32,1023,6,2275
26,2413,7,2275
24,1223,6,2275
27,823,8,2275
27,873,6,2775
28,713,6,2775
29,623,7,2775
24,601,8,2775
30,923,9,2775
30,2823,10,6275
30,1823,10,6275
40,1713,8,6275
50,1523,8,5275
61,823,6,4275
40,2923,9,6275
43,3023,7,6275
42,973,6,6275
32,1073,5,5275
44,1523,8,4275
22,271,2,1665
29,381,3,1665
29,201,3,1665
24,310,2,1665
24,510,4,1665
24,821,5,2065
33,1321,4,2065
26,121,2,2065
27,271,2,2065
30,2823,10,6275
30,1823,10,6275
40,1713,8,6275
50,1523,8,5275
61,823,6,4275
40,2923,9,6275
43,3023,7,6275
42,973,6,6275
32,1073,5,5275
44,1523,8,4275
22,271,2,1665
